Aeropuerto,Latitud,Longitud
ottawa,45.4111700,-75.6981200
Whasington,38.8951100,38.8951100
Ciudad de Mexico,19.4284700,-99.1276600
Ciudad de Belice,17.4995200,-88.1975600
San Salvador,13.6893500,-89.1871800
Ciudad de Guatemala,14.6407200,-90.5132700
Tegucipalca,14.0818000,-87.2068100
Managua,12.1328200,-86.2504000
Ciudad de Panama,8.9936000,-79.5197300
Buenos Aires,-34.6131500,-58.3772300
Sucre,-19.0333200,-65.2627400
Brasilia,-15.7797200,-47.9297200
Bogota,4.6097100,-74.0817500
Quito,-0.2298500,-78.5249500
Asuncion,-25.3006600,-57.6359100
Perú,-12.0431800,-77.0282400
Parabarimo,5.8663800,-55.1668200
Puerto España,10.6666800,-61.5188900
Montevideo,-34.9032800,-56.1881600
Caracas,10.4880100,-66.8791900
