Aeropuerto,Latitud,Longitud
YOW,45.4111700,-75.6981200
DCA,38.8951100,38.8951100
MEX,19.4284700,-99.1276600
BZE,17.4995200,-88.1975600
SAL,13.6893500,-89.1871800
GUA,14.6407200,-90.5132700
TGU,14.0818000,-87.2068100
MGA,12.1328200,-86.2504000
PTY,8.9936000,-79.5197300
EZE,-34.6131500,-58.3772300
SER,-19.0333200,-65.2627400
BSB,-15.7797200,-47.9297200
BOG,4.6097100,-74.0817500
UIO,-0.2298500,-78.5249500
ASU,-25.3006600,-57.6359100
LIM,-12.0431800,-77.0282400
PBM,5.8663800,-55.1668200
POS,10.6666800,-61.5188900
MVD,-34.9032800,-56.1881600
CCS,10.4880100,-66.8791900
ANU,17.1171700,-61.8457300
NAS,25.0582300,-77.3430600
BGI,13.1000000,-59.6166700
HAV,23.1330200,-82.3830400
DOM,15.3017400,-61.3880800
GND,12.0564400,-61.7484900
GEO,6.8044800,-58.1552700
PAP,18.5391700,-72.3350000
KIN,17.9970200,-76.7935800
SDQ,18.5001200,-69.9885700
SKB,17.2948400,-62.7261000
SVD,13.1587200,-61.2247500
SLU,13.9957000,-61.0061400
